read, reserved word
x, identifier
;, special symbol
if, reserved word
0, Number
<, special symbol
x, identifier
then, reserved word
fact, identifier
:=, special symbol
1, Number
;, special symbol
repeat, reserved word
fact, identifier
:=, special symbol
fact, identifier
*, special symbol
x, identifier
;, special symbol
x, identifier
:=, special symbol
x, identifier
-, special symbol
1, Number
until, reserved word
x, identifier
=, special symbol
0, Number
;, special symbol
write, reserved word
fact, identifier
end, reserved word
